  name  ra         dec
  10a   328.468433679033     9.14499019102536
  10b   183.541243295551     42.118565227721
  10c   194.423602459586     41.7162552073505
  10d   208.243378375226     24.548132315725
  10e   107.488512346331     29.1373384242676
  10f   110.419025967768     30.0240794256449
  110   230.825265207633     15.9392222107509
  111   141.668698820298     16.7351369507922
  112   166.691984522847     0.291144881627366
  113   168.738928865405     0.220739263264465
  114   48.425406022299      0.836161140164141
  115   49.7997354861896     0.77342723255937
  116   350.715484123183     20.6588402991884
  117   353.654579316548     20.9949850895549
  118   316.998128663592     -7.43116877419658
  119   119.367001947109     22.8924681865607
  11a   243.816396083905     30.7243006818611
  11b   123.656551916126     57.9388122120431
  11c   244.329403961358     13.984162274188
  11d   230.142309570362     18.7112611346028
  11e   169.943439431787     35.3009946475776
  11f   140.422378302297     16.1772672290013
  120   184.703917089726     22.222306525273
  121   321.683322005624     8.46468754806128
  122   353.390300343379     26.7964042208349
  123   163.139135705482     41.0782102275426
  124   165.243709511872     41.6230049056374
  125   27.9688605740251     33.3485862792453
  126   119.125048061855     30.9272359191106
  127   117.280427943181     29.0836716463896
  128   22.1228847294896     22.1046386281439
  129   124.837991944481     31.2505005153731
  12a   154.457572973145     19.4633660921505
  12b   132.061733594518     31.848479248863
  12c   21.4628046434006     -4.65672418147138
  12d   39.9311065680743     -4.03996577568808
  12e   166.714226804483     22.9032831923776
  12f   157.296622152958     21.4968598098681
  130   324.207175725364     0.152074715892481
  131   316.397028064949     0.133118637671206
  132   322.680399577282     0.014711896510232
  133   256.281045295359     64.0834730983954
  134   21.3300430566524     22.2436892693455
  135   249.037143543493     32.7186379549882
  136   28.0778584637698     8.03720429083861
  137   349.060548970701     20.5415066772752
  138   328.448576245044     -8.71056334690571
  139   314.483027746345     -7.21250130213125
  13a   328.541151094159     -8.7686495035035
  13b   116.757001017127     17.5098037791931
  13c   353.542111178568     20.3696369783637
  13d   6.06386881708238     20.8034789139077
  13e   189.483178225963     22.1038139302562
  13f   220.467860493066     18.3224063819986
  140   184.673003125143     42.2685232239422
  141   185.745967666872     42.2574568488566
  142   193.485129113558     41.7889949577845
  143   29.0633285089237     -0.711488065492046
  144   233.797090497873     35.7694000022826
  145   127.962873745706     32.6941037613328
  146   142.907983354246     41.2798520767566
  147   305.949872439949     -12.9005413607747
  148   242.57878906603      14.5575410098112
